Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Value
2004,4.1.1.1 Completion rate Grade 6,,Female,,Percent,45.7
2005,4.1.1.1 Completion rate Grade 6,,Female,,Percent,42.2
2006,4.1.1.1 Completion rate Grade 6,,Female,,Percent,89.8
2007,4.1.1.1 Completion rate Grade 6,,Female,,Percent,88.0
2008,4.1.1.1 Completion rate Grade 6,,Female,,Percent,85.7
2009,4.1.1.1 Completion rate Grade 6,,Female,,Percent,83.6
2010,4.1.1.1 Completion rate Grade 6,,Female,,Percent,85.0
2011,4.1.1.1 Completion rate Grade 6,,Female,,Percent,89.9
2012,4.1.1.1 Completion rate Grade 6,,Female,,Percent,87.8
2013,4.1.1.1 Completion rate Grade 6,,Female,,Percent,90.2
2014,4.1.1.1 Completion rate Grade 6,,Female,,Percent,86.6
2015,4.1.1.1 Completion rate Grade 6,,Female,,Percent,84.0
2016,4.1.1.1 Completion rate Grade 6,,Female,,Percent,83.2
2017,4.1.1.1 Completion rate Grade 6,,Female,,Percent,82.7
2018,4.1.1.1 Completion rate Grade 6,,Female,,Percent,86.1
2019,4.1.1.1 Completion rate Grade 6,,Female,,Percent,87.6
2004,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,56.4
2005,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,54.2
2006,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,94.9
2007,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,91.5
2008,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,88.3
2009,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,84.4
2010,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,88.2
2011,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,78.8
2012,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,79.2
2013,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,78.6
2014,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,76.6
2015,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,75.2
2016,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,74.0
2017,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,72.5
2018,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,77.1
2019,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,77.2
2004,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,44.5
2005,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,41.1
2006,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,90.5
2007,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,88.8
2008,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,87.0
2009,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,83.5
2010,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,84.4
2011,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,92.4
2012,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,90.2
2013,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,92.8
2014,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,88.8
2015,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,86.0
2016,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,85.4
2017,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,85.1
2018,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,88.2
2019,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,90.1
2004,4.1.1.1 Completion rate Grade 6,,Female,Remote Area,Percent,25.3
2005,4.1.1.1 Completion rate Grade 6,,Female,Remote Area,Percent,22.8
2006,4.1.1.1 Completion rate Grade 6,,Female,Remote Area,Percent,52.2
2007,4.1.1.1 Completion rate Grade 6,,Female,Remote Area,Percent,56.2
2008,4.1.1.1 Completion rate Grade 6,,Female,Remote Area,Percent,60.4
2005,4.1.1.1 Completion rate Grade 6,,Male,,Percent,43.5
2006,4.1.1.1 Completion rate Grade 6,,Male,,Percent,90.4
2007,4.1.1.1 Completion rate Grade 6,,Male,,Percent,84.7
2008,4.1.1.1 Completion rate Grade 6,,Male,,Percent,85.4
2009,4.1.1.1 Completion rate Grade 6,,Male,,Percent,82.8
2010,4.1.1.1 Completion rate Grade 6,,Male,,Percent,85.6
2011,4.1.1.1 Completion rate Grade 6,,Male,,Percent,89.6
2012,4.1.1.1 Completion rate Grade 6,,Male,,Percent,86.9
2013,4.1.1.1 Completion rate Grade 6,,Male,,Percent,87.8
2014,4.1.1.1 Completion rate Grade 6,,Male,,Percent,81.8
2015,4.1.1.1 Completion rate Grade 6,,Male,,Percent,77.5
2016,4.1.1.1 Completion rate Grade 6,,Male,,Percent,76.7
2017,4.1.1.1 Completion rate Grade 6,,Male,,Percent,75.7
2018,4.1.1.1 Completion rate Grade 6,,Male,,Percent,78.5
2019,4.1.1.1 Completion rate Grade 6,,Male,,Percent,79.4
2005,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,54.5
2006,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,103.1
2007,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,91.6
2008,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,93.7
2009,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,84.3
2010,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,93.7
2011,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,77.2
2012,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,79.0
2013,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,75.3
2014,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,71.8
2015,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,70.2
2016,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,68.3
2017,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,66.3
2018,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,69.2
2019,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,69.4
2005,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,42.3
2006,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,89.6
2007,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,84.9
2008,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,85.8
2009,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,82.5
2010,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,84.1
2011,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,92.4
2012,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,97.7
2013,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,90.6
2014,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,84.2
2015,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,79.2
2016,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,78.7
2017,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,78.0
2018,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,80.7
2019,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,81.9
2005,4.1.1.1 Completion rate Grade 6,,Male,Remote Area,Percent,26.6
2006,4.1.1.1 Completion rate Grade 6,,Male,Remote Area,Percent,52.7
2007,4.1.1.1 Completion rate Grade 6,,Male,Remote Area,Percent,52.3
2008,4.1.1.1 Completion rate Grade 6,,Male,Remote Area,Percent,57.6
2004,4.1.1.1 Completion rate Grade 6,,,,Percent,46.8
2005,4.1.1.1 Completion rate Grade 6,,,,Percent,42.9
2006,4.1.1.1 Completion rate Grade 6,,,,Percent,90.1
2007,4.1.1.1 Completion rate Grade 6,,,,Percent,86.2
2008,4.1.1.1 Completion rate Grade 6,,,,Percent,85.6
2009,4.1.1.1 Completion rate Grade 6,,,,Percent,83.2
2010,4.1.1.1 Completion rate Grade 6,,,,Percent,85.3
2011,4.1.1.1 Completion rate Grade 6,,,,Percent,89.7
2012,4.1.1.1 Completion rate Grade 6,,,,Percent,87.4
2013,4.1.1.1 Completion rate Grade 6,,,,Percent,88.9
2014,4.1.1.1 Completion rate Grade 6,,,,Percent,84.1
2015,4.1.1.1 Completion rate Grade 6,,,,Percent,80.6
2016,4.1.1.1 Completion rate Grade 6,,,,Percent,79.9
2017,4.1.1.1 Completion rate Grade 6,,,,Percent,79.1
2018,4.1.1.1 Completion rate Grade 6,,,,Percent,82.1
2019,4.1.1.1 Completion rate Grade 6,,,,Percent,83.3
2004,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,56.9
2005,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,54.4
2006,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,99.0
2007,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,91.6
2008,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,91.0
2009,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,84.3
2010,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,91.0
2011,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,78.0
2012,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,79.1
2013,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,76.9
2014,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,74.1
2015,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,72.6
2016,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,71.0
2017,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,69.3
2018,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,73.0
2019,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,73.1
2004,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,45.7
2005,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,41.7
2006,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,90.0
2007,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,86.8
2008,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,86.4
2009,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,83.0
2010,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,84.3
2011,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,92.4
2012,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,94.0
2013,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,91.7
2014,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,86.5
2015,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,82.5
2016,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,82.0
2017,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,81.4
2018,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,84.4
2019,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,85.8
2004,4.1.1.1 Completion rate Grade 6,,,Remote Area,Percent,26.0
2005,4.1.1.1 Completion rate Grade 6,,,Remote Area,Percent,24.7
2006,4.1.1.1 Completion rate Grade 6,,,Remote Area,Percent,52.4
2007,4.1.1.1 Completion rate Grade 6,,,Remote Area,Percent,54.1
2008,4.1.1.1 Completion rate Grade 6,,,Remote Area,Percent,59.0
2009,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,90.7
2010,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,94.6
2011,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,93.0
2012,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,85.1
2013,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,84.4
2014,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,77.5
2015,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,74.4
2016,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,73.2
2017,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,74.3
2018,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,78.4
2019,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,78.8
2009,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,85.4
2010,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,93.1
2011,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,90.2
2012,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,96.1
2013,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,82.4
2014,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,73.9
2015,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,67.6
2016,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,66.8
2017,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,65.1
2018,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,69.4
2019,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,73.1
2009,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,88.0
2010,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,93.9
2011,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,91.6
2012,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,90.8
2013,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,83.4
2014,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,75.6
2015,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,70.9
2016,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,69.9
2017,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,69.5
2018,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,73.7
2019,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,75.8
2009,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,85.6
2010,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,73.5
2011,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,85.4
2012,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,82.1
2013,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,86.4
2014,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,82.1
2015,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,80.2
2016,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,79.3
2017,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,81.0
2018,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,84.8
2019,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,85.9
2009,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,81.3
2010,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,76.9
2011,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,80.8
2012,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,90.7
2013,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,80.2
2014,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,77.4
2015,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,73.7
2016,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,71.6
2017,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,74.0
2018,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,77.3
2019,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,79.2
2009,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,83.4
2010,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,75.2
2011,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,83.0
2012,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,86.5
2013,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,83.2
2014,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,79.7
2015,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,76.8
2016,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,75.3
2017,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,77.4
2018,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,80.9
2019,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,82.4
2009,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,82.2
2010,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,84.0
2011,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,91.6
2012,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,88.1
2013,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,94.4
2014,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,92.1
2015,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,87.8
2016,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,88.8
2017,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,88.1
2018,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,91.4
2019,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,91.9
2009,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,81.5
2010,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,77.9
2011,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,91.9
2012,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,97.3
2013,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,92.4
2014,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,86.8
2015,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,80.9
2016,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,79.4
2017,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,81.2
2018,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,82.8
2019,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,83.1
2009,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,81.8
2010,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,80.9
2011,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,91.8
2012,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,92.8
2013,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,93.4
2014,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,89.4
2015,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,84.2
2016,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,84.0
2017,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,84.6
2018,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,87.0
2019,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,87.4
2009,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,88.0
2010,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,97.9
2011,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,89.9
2012,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,88.9
2013,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,91.4
2014,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,90.2
2015,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,87.7
2016,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,84.5
2017,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,85.3
2018,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,87.7
2019,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,87.8
2009,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,82.2
2010,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,94.4
2011,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,85.0
2012,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,94.9
2013,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,84.1
2014,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,84.1
2015,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,77.9
2016,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,79.0
2017,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,76.8
2018,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,78.0
2019,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,79.2
2009,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,85.1
2010,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,96.1
2011,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,87.4
2012,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,92.0
2013,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,87.7
2014,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,87.1
2015,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,82.7
2016,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,81.7
2017,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,80.9
2018,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,82.8
2019,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,83.4
2009,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,86.4
2010,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,94.8
2011,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,88.3
2012,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,88.6
2013,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,94.4
2014,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,88.6
2015,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,82.6
2016,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,83.4
2017,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,78.4
2018,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,86.4
2019,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,87.3
2009,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,84.5
2010,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,103.5
2011,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,92.2
2012,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,96.6
2013,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,94.0
2014,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,88.2
2015,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,79.3
2016,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,77.0
2017,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,78.6
2018,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,80.3
2019,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,80.7
2009,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,85.5
2010,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,99.1
2011,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,90.2
2012,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,92.7
2013,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,94.2
2014,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,88.4
2015,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,80.9
2016,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,80.2
2017,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,78.5
2018,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,83.3
2019,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,84.0
2009,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,79.3
2010,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,83.4
2011,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,86.4
2012,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,82.7
2013,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,87.2
2014,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,83.1
2015,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,83.4
2016,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,84.1
2017,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,87.1
2018,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,84.7
2019,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,85.8
2009,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,74.8
2010,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,76.0
2011,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,82.0
2012,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,90.0
2013,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,81.3
2014,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,74.9
2015,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,69.8
2016,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,73.3
2017,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,70.8
2018,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,75.8
2019,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,73.9
2009,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,77.0
2010,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,79.6
2011,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,84.2
2012,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,86.4
2013,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,84.2
2014,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,79.0
2015,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,76.4
2016,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,78.6
2017,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,78.8
2018,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,80.1
2019,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,79.7
2009,4.1.1.1 Completion rate Grade 6,Kampot,Female,,Percent,84.4
